skill_url,skill_name,skill_description,prerequisite_name
http://data.europa.eu/esco/skill/0156865e-5010-4908-8e0f-ce3aebc2d136,adjust envelope cutting settings,"Make sure that the right window cutting and patching standard are used. Prepare this by gumming on the blank with a dry patch and on the window material during its conveyance. Adjust on the basis of window, gum, and patch position and level of evenness.",['envelope cutting standards']
http://data.europa.eu/esco/skill/0157feec-52c2-4764-b83d-2d017ce8e49d,prepare oils,"Select the appropriate oils for the client, mix and blend them in order to create individualised compounds with specific needs and ratios for clients, keeping records of applied treatments and the blends used during the therapy.",['types of essential oils']
http://data.europa.eu/esco/skill/016cee6c-9e95-466c-bd51-d63327751aa2,assess railway operations,"Review and study existing railroad equipment, facilities, systems and processes in order to improve railway safety and efficiency, increase quality, and reduce costs.",['railway law']
http://data.europa.eu/esco/skill/017738e7-7d12-4e87-a580-8523405bab96,use glass engraving tools,"Use engraving tools which use steel, stone or copper wheels according to the kind of glass or glassware.",['types of engraving needles']
http://data.europa.eu/esco/skill/018164df-2814-4926-bdf7-398d86b9dfe6,evaluate garment quality,"Evaluating stitching, construction, attachments, fasteners, embellishments, shading within the garment; evaluating pattern continuity-, matching; evaluating tapes and linings.",['quality assurance procedures']
http://data.europa.eu/esco/skill/01c03003-516d-43c6-8477-45c472413521,advise on construction materials,Provide advice on and test a wide range of construction materials.,['construction products']
http://data.europa.eu/esco/skill/01c4bbed-0449-44c9-9c05-48c30ffdcc22,maintain rotating equipment,"Perform routine maintenance on rotating equipment to ensure that it is clean and in safe, working order.",['types of rotating equipment']
http://data.europa.eu/esco/skill/01e5d2e2-d368-4fb9-9be9-9923146482c4,attend to detail in casting processes,Attend in the metal processing casting work to specificities and details concerning the quality of the casting and moulds.,['casting processes']
http://data.europa.eu/esco/skill/01e7dee7-3ff1-4807-acad-058dbed91aba,keep up to date on product knowledge,"Gather the latest information on developments related to the existing or supported products, methods or techniques.",['product comprehension']
http://data.europa.eu/esco/skill/01f91b5b-3e2f-40a2-ab88-bc8113c0ab37,monitor drilling fluid,"Monitor and maintain the drilling fluids, or ""mud"". Add different chemicals to the fluid to perform various function in well operations: keep the drill bit cool, provide hydrostatic pressure, etc.","['hydraulic fluid', 'fluid mechanics', 'flammable fluids']"
http://data.europa.eu/esco/skill/01fec851-b5f4-419b-940a-3b4c835adfa8,tend packaging machines,"Tend packaging machines such as filling, labelling, and sealing machines. Stock and sort products to be processed according to specifications. Replenish packaging supplies as required, such as boxes, cartons, wrapping paper, plastic sheet, glue, ink, or labels.",['tube filling systems']
http://data.europa.eu/esco/skill/020918ef-4b55-47c1-8430-ab7b8f6a7377,migrate existing data,"Apply migration and conversion methods for existing data, in order to transfer or convert data between formats, storage or computer systems.","['data mining', 'data storage', 'unstructured data']"
http://data.europa.eu/esco/skill/020b3c27-bae1-4b85-9d6f-eccee0f5ed99,manage supplies,"Monitor and control the flow of supplies that includes the purchase, storage and movement of the required quality of raw materials, and also work-in-progress inventory. Manage supply chain activities and synchronise supply with demand of production and customer.",['supply chain management']
http://data.europa.eu/esco/skill/022dc430-872a-473a-9cf4-fed4895e58ad,define database physical structure,"Specify the physical configuration of database files on a given media. This consists of in-detail specifications of indexing options, data types and data elements placed in the data dictionary.","['information structure', 'database', 'data storage']"
http://data.europa.eu/esco/skill/0232e2ee-5535-46e0-9c64-ea80c896c62f,lay stones,"Place stone blocks or paving stones, which have been cut to the right size and thickness beforehand, to build stone walls and stairs, to lay pavement or to insert door and window frames.",['types of stone for working']
http://data.europa.eu/esco/skill/0234bf2c-0483-4953-be59-edc2fcdd9e4b,assemble circus rigging equipment,Assemble and fit-up circus rigging equipment based on instruction or technical rider or description.,['circus vocabulary']
http://data.europa.eu/esco/skill/0240c5a8-d8ec-4cd5-948f-4649334c01b8,search historical sources in archives,Search archives in order to find the sources needed for historical research.,"['source criticism', 'historical methods']"
http://data.europa.eu/esco/skill/0295b2a4-fb86-495f-9547-d479532fc4c2,trace financial transactions,"Observe, track and analyse financial transactions made in companies or in banks. Determine the validity of the transaction and check for suspicious or high-risk transactions in order to avoid mismanagement.",['international commercial transactions rules']
http://data.europa.eu/esco/skill/02ae2a55-4b7c-41d2-86ec-9a2a38b73fe6,advise on care products for pets,"Provide advice on basic care products, such as supplements and vitamins, that can be used on various types of pets.",['pet product industry']
http://data.europa.eu/esco/skill/02b6350e-433a-42b1-b620-92fc53b9a14d,operate remote sensing equipment,"Set up and operate remote sensing equipment such as radars, telescopes, and aerial cameras in order to obtain information about Earth's surface and atmosphere.",['remote sensing techniques']
http://data.europa.eu/esco/skill/02c1a369-f1e7-4f8e-8882-d7ded57f9cf4,empathise with outdoor groups,Identify the outdoor activities permitted or suited in an outdoor setting based on the group's needs. ,['outdoor activities']
http://data.europa.eu/esco/skill/02e0b3e9-c9e0-4063-983b-b5a7697e0f78,keep records of bridge investigation findings,Register the results of bridge investigations and send them to the appropriate authorities.,['bridge engineering']
http://data.europa.eu/esco/skill/02f115d8-9e14-499c-97c1-f9eac282edc5,select glassware for serving,Choose appropriate glassware for beverages and inspect glass quality and cleanliness.,['glassware products']
http://data.europa.eu/esco/skill/0329ab41-3212-4e4f-8112-9e9ff5217f7b,bend staves,"Use various techniques to give the wooden planks the desired curve, such as softening the wood in steam tunnels and then replacing the working hoops with stronger hoops.",['metal bending techniques']
http://data.europa.eu/esco/skill/03305638-bd08-410a-a960-f963ad89cce6,tend electron beam welding machine,"Tend a metalworking machine designed to join metal pieces by use of an electron beam exuding a concentrated heat source, monitor and operate it according to regulations.","['electron beam welding machine parts', 'spot welding machine parts', 'electron beam welding processes']"
http://data.europa.eu/esco/skill/0337c577-f837-4518-9263-b753c24f3a21,drive automatic car,"Drive a vehicle operated under an automatic, or self-shifting, transmission system safely and according to regulations.",['car controls']
http://data.europa.eu/esco/skill/03500955-88a6-4c3d-a8c0-7594409dcff0,operate specialised equipment in emergency,"Operate equipment such as external defibrillators and bag-valve mask resuscitators, spinal and traction splints and intravenous drips in advanced life-support environments, taking electrocardiograms when required.","['special equipment in emergency', 'resuscitation', 'defibrillation']"
http://data.europa.eu/esco/skill/0359f76c-3ef3-4e52-abcf-1b2b32ed20a5,taste wines,"Taste wines to have a sensory examination and evaluation of wine, and to check wine appearance and evaluate characteristics such as the in glass aroma, the in mouth sensations and the aftertaste.","['wine characteristics', 'types of wine']"
http://data.europa.eu/esco/skill/0361c099-da6c-404e-984b-a8b8a0c017d1,check sensorial parameters of oils and fats,"Check sensorial parameters of olive oils, seed oils and edible fats such as taste, smell and touch.","['origin of dietary fats and oils', 'free fatty acid elimination processes']"
http://data.europa.eu/esco/skill/037c8da7-6a0d-42b8-b979-c4abe7c92d48,schedule maintenance of airport electrical systems,Schedule maintenance for each individual element of an airport electrical system. Set the frequency for maintenance of the different elements while monitoring overall airport operations.,['airport electrical systems']
http://data.europa.eu/esco/skill/03d93b02-a461-4815-a4c0-b46451afc1c2,manage claim files,"Follow up on the progress of a claim file, keep all parties informed of the status of the file, ensure the customer receives the damages owed, treat any problems or complaints from customers, close the file and give information to an authorised person or department when there is suspicion of fraud.",['claims procedures']
http://data.europa.eu/esco/skill/03d93bf5-3c09-489c-a0d7-a895b068041a,rescue animals,Rescue animals found in situations which present an immediate or potential threat to their welfare.',['animal biology']
http://data.europa.eu/esco/skill/03d988af-2e63-4151-bb5e-950f366e2c64,guide ships into docks,Safely guide a ship into a dock and anchor it.,['dock operations']
http://data.europa.eu/esco/skill/0415142d-6921-4f8d-832b-6271382b8193,test materials,"Test the composition, characteristics, and use of materials in order to create new products and applications. Test them under normal and extraordinary conditions.",['composite materials']
http://data.europa.eu/esco/skill/042f91e3-cccc-4d51-b635-bb14ffe90cfc,unload cargo,Handle safe unloading of goods from transportation vehicles.,"['types of cargo', 'international regulations for cargo handling', 'national regulations on handling cargo', 'principles of cargo stowage']"
http://data.europa.eu/esco/skill/0450f6a4-495e-4484-b11f-84e8c12ac5f9,design beer recipes,"Be creative in composing, testing and producing new beer recipes according to specifications and existing recipes.",['variety of beers']
http://data.europa.eu/esco/skill/04512804-4c83-4e1c-a963-02c58e918240,finish plastic products,"Finish the product by sanding, branding and polishing the plastic surface.",['types of plastic']
http://data.europa.eu/esco/skill/0460013b-e73a-4200-8c11-88b3b60a222a,perform manual spiral binding,Operate preformed spiral binding in perforated holes of items and hold the spiral against rubber-covered spindles or wringer-like rollers. These further twist the spiral into any remaining perforations.,['binding technologies']
http://data.europa.eu/esco/skill/04666ae0-ad33-41b2-8977-7121583799d3,place orders for orthopedic products,Order specialised orthopaedic materials and supplies for the store; maintain the company stock.,"['orthopaedics', 'types of orthopedic supplies']"
http://data.europa.eu/esco/skill/0476ca2b-f84e-4657-95b1-ad80bc48d002,emboss designs,"Instead of raising a design (embossing) this process recesses the design, forcing the material down from the surface. It produces a different effect or appearance on the material.",['types of embossing']
http://data.europa.eu/esco/skill/04880044-9668-45b8-b888-f3d9894bac9f,organise homecare for patients,Organise care to be provided in the house of a patient who is housebound with acute and/or long-term health problems.,['patient autonomy']
http://data.europa.eu/esco/skill/048affec-04db-4bd5-b7a6-c666d16c0fef,load cargo,Gather goods to be transported and place them in a transportation vehicle.,"['types of cargo', 'international regulations for cargo handling', 'national regulations on handling cargo', 'vehicle cargo capacity', 'principles of cargo stowage']"
http://data.europa.eu/esco/skill/048f3205-6b1a-43e0-9f76-8c43562c6140,check quality of enamel,"Assess enamel by using a needle. If defective, remove it and repeat the enamel process.",['footwear quality']
http://data.europa.eu/esco/skill/04dd3f36-7056-4824-9eee-b0312d4a25b7,sell processed timber in a commercial environment,Check that the sales area is in a suitable condition for customers and that the stock and materials are in a suitable condition to be sold.,['timber products']
http://data.europa.eu/esco/skill/04e08696-b62e-446c-9b53-3b48f9af0904,slaughter animals,"Kill animals, usually domestic livestock, for food. Protect animal welfare at slaughter by minimising the pain, distress or suffering of animals at the time of killing. Follow relevant regulations and comply with religious and cultural practices.","['cultural practices regarding animal slaughter', 'animal anatomy for food production']"
http://data.europa.eu/esco/skill/04e52ec7-5107-455b-a943-8004015d5b26,develop policies for nutritional programs,Develop policies for food service or nutritional programs to assist in health promotion and disease control.,"['nutrition', 'food policy']"
http://data.europa.eu/esco/skill/04e6f19b-6458-432f-9790-3979831a03bc,teach nursing principles,"Instruct students in the theory and practice of nursing, with the aim of assisting them in pursuing a future career in this field, more specifically in topics such as medicine, first aid, human anatomy, sterilization, and patient care.",['nursing principles']
http://data.europa.eu/esco/skill/050dc15e-a41f-4958-bb2c-3fa46c2182be,weld in hyperbaric conditions,"Use arc welding techniques to make welds in conditions of very high pressure, usually in an underwater dry chamber such as a diving bell. Compensate for the negative consequences of high pressure on a weld, such as the shorter and less steady welding arc.",['welding techniques']
http://data.europa.eu/esco/skill/052b829c-67c5-466f-9300-0e0b001a68ef,prepare energy performance contracts,Prepare and review contracts that describe the energy performance while making sure they comply with legal requirements.,['energy performance of buildings']
http://data.europa.eu/esco/skill/05338a70-1ea1-4c33-a886-1c4f0c7d7241,pass on trade techniques,"Pass on knowledge and skills, explain and demonstrate the application of equipment and materials and answer questions about trade techniques for the manufacturing of products.","['international trade', 'trade sector policies', 'trading law']"
http://data.europa.eu/esco/skill/0539bd09-531a-4857-b739-cfd0316e4c65,treat animals ethically,"Carry out activities according to accepted principles of right and wrong, including transparency in work practices and conduct towards clients and their animals.",['ethics']
http://data.europa.eu/esco/skill/0551beb0-2e59-4e43-8883-d4a06400940f,prepare livestock for artificial insemination,Correctly identify stock to be inseminated. Move stock to an appropriate area to be inseminated. Ensure that the work environment is suitable for the safe handling of animals and protection of operators.,['livestock']
http://data.europa.eu/esco/skill/055ff233-6569-43db-9f95-a4b03dca97da,operate warehouse record systems,"Operate systems for recording product, packaging, and order information in specific formats and types of record.",['warehouse operations']
http://data.europa.eu/esco/skill/0568517d-3d5f-470f-ac29-0b6509dd85b8,restore upholstery of classic cars,Preserve and repair/restore the upholstery of vintage or classic cars. Add a new look to the vehicles’ original aspect.,"['upholstery tools', 'upholstery fillings']"
http://data.europa.eu/esco/skill/05722a60-14ab-44e1-960e-35efb2695efd,cut tobacco leaves,Cut leaves into fine strands using the adequate equipment before drying. Ensure that cutting sizes are according to requirements.,['variety of tobacco leaves']
http://data.europa.eu/esco/skill/05a7f9e0-1ebd-4853-890b-c78f37096d51,provide humanitarian aid,"Provide first-hand aid in dangerous or critical areas to the civilian population, such as handing out food and water, medical resources, setting up aid facilities, evacuation procedures, and ensuring the area's security.","['humanitarian aid actors', 'first aid']"
http://data.europa.eu/esco/skill/05d529f7-a76a-4d45-b681-5e03eb505845,operate patients with thoracic diseases,"Perform thoracic surgery on patients with diseases such as lung cancer, severe emphysema, cancer of the oesophagus, gastroesophageal reflux disease, hiatal hernias, swallowing disorders such as achalasia, and excess sweating, usually of the upper extremity called hyperhydrosis.",['thoracic surgery']
http://data.europa.eu/esco/skill/05f05855-acac-4366-a6ee-42f0bebe3780,operate crosscut saw,Use a blade saw to manually cut wood across the wood grain. Crosscut saws may have small teeth close together for fine work like woodworking or large for course work like log bucking. They can be a hand tool or power tool.,"['sawing techniques', 'types of crosscut saws', 'types of sawing blades']"
http://data.europa.eu/esco/skill/05fac72a-7c56-4819-974e-9e4159703731,put adhesive on plies,Put adhesive on plies by operating the cement stick on drum edge.,"['types of tile adhesive', 'adhesives']"
http://data.europa.eu/esco/skill/060850d5-3dab-476a-beea-4a01408c1bad,critique the dive with the dive team,Assess the dive with the dive team upon completion. Instruct the diver(s) so as to improve procedures and routines for future dives.,"['diving operation requirements', 'diving equipment']"
http://data.europa.eu/esco/skill/0612b3e9-5515-4233-af5e-07191b03c4ba,monitor crops,"Monitor the growth of the crops to ensure the crops are free from diseases, harmful chemicals and organisms.",['pest control in plants']
http://data.europa.eu/esco/skill/061f1c12-9811-46f7-ab3e-1d28367d6c73,use CAD for soles,"Digitise and scan the lasts. Work with files in various CAD systems. Produce 3D models of soles and create 2D computer aided designs. Grade and obtain the size series. Prepare technical specifications for manufacturing. Produce 2D and 3D computer aided engineering designs and technical drawings of moulds for vulcanised and injected soles. Export the files of the virtual models to 3D printers, CAM or CNC systems.",['CAD software']
http://data.europa.eu/esco/skill/0620ecd1-e4b1-4dfa-972b-38a93e5ebd9d,create 3D environments,"Develop a computer-generated 3D representation of a setting such as simulated environment, where the users interact.","['3D texturing', '3D modelling']"
http://data.europa.eu/esco/skill/062320e5-79d1-45e8-8b7e-5deeb53279a2,perform online data analysis,"Analyse online experiences and online data for purposes of understanding user behaviour, triggers of online attention, and other factors that could optimise webpage development and exposure.","['web analytics', 'online analytical processing']"
http://data.europa.eu/esco/skill/06358891-8424-43c5-891e-d40f226bef40,manage IT security compliances,"Guide application and fulfilment of relevant industry standards, best practices and legal requirements for information security.","['information security strategy', 'ICT security standards']"
http://data.europa.eu/esco/skill/06390194-dc45-4d6f-a385-36a58d281ac4,manage process of flexographic print,"Choose and manage the process of printing, necessary tools, and colours needed during flexographic printing. This method utilises flexible relief plates made out of rubber and plastic for printing.","['wide web flexographic printing press', 'narrow web flexographic printing press']"
http://data.europa.eu/esco/skill/064565c0-4a4c-4a1f-b014-09227ffd5a9f,load animals for transportation,Load and unload animals safely into containers or cages for transportation. Make sure they are secure and safely established in the transport vehicle.,"['animal transport regulations', 'animal transportation vehicles']"
http://data.europa.eu/esco/skill/0654d206-36a6-4d37-bb98-eb8bd33af3c5,handle refrigerant transfer pumps,Handle the different transfer pumps used to keep a refrigerant in the liquid phase at the right pressure for an optimal accuracy and speed of the charging station.,['refrigerants']
http://data.europa.eu/esco/skill/065ec709-e0f4-407f-91fe-9feab66942be,design sprinkler systems,"Design sprinkler systems. Take into account issues of water conservation, existing and proposed landscaping features, and time sequencing of existing systems.",['types of sprinklers']
http://data.europa.eu/esco/skill/06670261-ea6b-4b52-a915-c7d4ff837f74,identify statistical patterns,Analyse statistical data in order to find patterns and trends in the data or between variables.,"['manage quantitative data', 'statistics']"
http://data.europa.eu/esco/skill/06735a47-61df-4fcb-b23c-d26d70fd3cba,measure sugar refinement,Monitoring the refinement of sugars by measuring the pH level.,"['sugar, chocolate and sugar confectionery products', 'types of sugars']"
http://data.europa.eu/esco/skill/06771445-aafc-4422-966c-87c861ad3fd3,teach archaeology,"Instruct students in the theory and practice of archaeology, more specifically in archaeological excavation techniques, human and cultural development, archaeological science, and archaeological investigation.",['archaeology']
http://data.europa.eu/esco/skill/06aac0bf-3bfd-42b3-a334-39c4f4055da0,monitor curriculum implementation,Monitor the steps taken in educational institutions to implement the approved learning curriculum for said institution to ensure adherence and the use of proper teaching methods and resources.,"['curriculum standards', 'curriculum objectives']"
http://data.europa.eu/esco/skill/06b1f593-ac31-42ba-a2cd-5d86c755b416,harvest grapes,Harvest wine grapes.,"['chemical constitution of grapes', 'variety of grapes']"
http://data.europa.eu/esco/skill/06bf61f2-9df5-489d-8268-49fd8e3c34d3,operate centrifuges,Adjust working condition as speed and time of centrifuges according to the requirements of the product in process. Operate centrifuges.,['centrifugal force']
http://data.europa.eu/esco/skill/06bf62ec-3316-49b7-989f-a47fe61f8987,organise harvests,Schedule the planting and harvesting of crops.,['plant harvest methods']
http://data.europa.eu/esco/skill/06c4a403-2614-40c6-a7ea-4a1fc267f053,remove snow from airport operational areas,"Follow strict procedures to remove snow and ice from the operational and traffic areas of airports. Adhere to the snow plan, particularly in the use of equipment to clear the different areas of the airport.",['snow removal safety hazards']
http://data.europa.eu/esco/skill/06e347f2-2504-4ee8-b7f7-8d9542f56207,translate keywords into full texts,"Draft e-mails, letters and other written documents on the basis of keywords or key concepts outlining the content. Choose the appropriate format and language style according to the type of document.",['keywords in digital content']
http://data.europa.eu/esco/skill/07197605-141a-4c85-8995-00614de16c87,demonstrate proficiency in packaging standards,Work in accordance with the latest developments in domestic and international packaging standards and procedures.,"['packaging functions', 'packaging processes']"
http://data.europa.eu/esco/skill/0719ac4d-9d0f-44ae-9067-5c29c2c343ef,advise on consumer rights,"Advise consumers as well as retailers and service providers on the legislation concerning consumer rights, what actions consumers may undertake in order to ensure their rights are adhered to, how businesses may improve compliance to consumer rights legislation, and the correct manner to handle disputes.","['consumer protection', 'consumer law']"
http://data.europa.eu/esco/skill/071a4197-06b3-4226-b9a1-efd15913280a,model medical devices,Model and simulate medical devices using technical design software.,"['medical devices materials', 'medical devices']"
http://data.europa.eu/esco/skill/071de01d-c665-4984-9272-63e02b65b471,engineer seismic equipment,"Develop, try out, adjust and repair seismic equipment.",['seismic measurement techniques']
http://data.europa.eu/esco/skill/071f0eca-4189-433f-9d6c-edde50593300,stack timber,Stack and align timber in neat and separate layers to make it ready for kiln drying.,['methods of drying timber']
http://data.europa.eu/esco/skill/072f35a1-98e7-4a6c-9a19-474ace5644da,cultivate crops for biomass,"Carry out the cultivation of crops for bio-mass, process of crops for bio-mass.","['biomass conversion', 'aquaculture cultivation equipment']"
http://data.europa.eu/esco/skill/074dd1d8-2ae6-494b-9ca9-43772643174b,manage technical aspects of vineyard production,Control the whole production process in teræs of quantity and quality. Decide about new pratices in vineyard and winery by using internal information and consultation processus.,['winery production process']
http://data.europa.eu/esco/skill/077fb5d5-a9a2-4e27-b1b0-fe3149ba3da0,provide medicines information,"Provide accurate, quality and safe information and advice to patients, the public and other healthcare professionals regarding medicines, advising them on the safe and rational use of medicines and devices such as the use, contraindications, storage, and side effects of non-prescription and prescription medicines.","['medicines', 'safe management of medicines']"
http://data.europa.eu/esco/skill/078098e1-01f7-4654-9ddd-016f4063b54d,cooperate with education professionals,"Communicate with teachers or other professionals working in education in order to identify needs and areas of improvement in education systems, and to establish a collaborative relationship.",['community education']
http://data.europa.eu/esco/skill/07889c08-7220-47c8-96f7-6068fbea00dc,normalise data,"Reduce data to their accurate core form (normal forms) in order to achieve such results as minimisation of dependency, elimination of redundancy, increase of consistency.",['unstructured data']
http://data.europa.eu/esco/skill/07c73859-2c3f-4810-8735-53656f6944f9,ensure compliance with port regulations,Enforce compliance with regulations in harbours and sea ports. Communicate with relevant authorities to identify potential risks.,['port regulation']
http://data.europa.eu/esco/skill/07d3074b-f5cd-420a-bdf8-c8d643563ea5,respect publication formats,Submit text material for printing purposes. Always respect the required and expected publication formats.,"['printing on large scale machines', 'publicity code']"
http://data.europa.eu/esco/skill/07dcecd9-b629-40cf-aea9-dbd62e77f841,use snow-removal equipment,"Use equipment such as shovels, snow rakes, snow blowers, ladders or aerial lifts to remove snow from various structures such as rooftops and other building structures and public spaces.",['snow removal safety hazards']
http://data.europa.eu/esco/skill/07e47d58-dd0e-4302-9e68-70a188e89065,apply system organisational policies,"Implement internal policies related to the development, internal and external usage of technological systems, such as software systems, network systems and telecommunications systems, in order to achieve a set of goals and targets regarding the efficient operations and growth of an organisation.",['organisational policies']
http://data.europa.eu/esco/skill/07e51c60-763a-4335-b4ec-70a15f66d328,propose ICT solutions to business problems,"Suggest how to solve business issues, using ICT means, so that business processes are improved.",['business ICT systems']
http://data.europa.eu/esco/skill/07ebe761-763e-4bf8-8cb7-c16da0d66981,handle different pottery materials,"Treat different recipes of clay and mud according to the genre (such as china) or the expected strength, look, colour, tradition or innovation in the creative process.",['types of pottery material']
http://data.europa.eu/esco/skill/08181263-ce78-483a-8ba6-5ba8fe0726cc,manufacture textile floor coverings,"Produce textile floor coverings by tending machines, sewing parts, and applying finishing touches to products such as carpets, rugs, and made up textile floor covering articles.","['textile technologies', 'wall and floor coverings industry']"
http://data.europa.eu/esco/skill/08365fba-e874-497b-aa9a-1c09d2aecd4d,focus on passengers,Transport passengers to their destination in a safe and timely fashion. Provide appropriate customer service; inform passengers in the event of unexpected situations or other incidents.,['air passenger behaviour']
http://data.europa.eu/esco/skill/083d79ab-03c1-46f6-872d-68fef084e899,tend swaging machine,"Tend a swaging machine, designed for forming usually cold metal by use of a high energy force and swage blocks, monitor and operate it, according to regulations.","['swaging machine types', 'swaging processes']"
http://data.europa.eu/esco/skill/0868eef3-2213-4572-9343-74931345a7d3,administer ICT system,"Handle components of ICT system by maintaining configuration, managing users, monitoring resource use, performing backups and installing hardware or software to comply with the set requirements.",['ICT system integration']
http://data.europa.eu/esco/skill/08881cb7-5331-4b11-9442-4d7c9fce749e,perform pest control,Carry out crop spraying pest and disease operations in line with National industry and customer requirements. Carry out slurry and fertiliser spreading in accordance with local environmental regulations,"['pest biology', 'pest control in plants']"
http://data.europa.eu/esco/skill/088c1b82-a759-442e-bb78-128c3ee3a3a8,represent artistic production,Represent the artistic company or production outside your day-to-day activities. Liaise with presenters and their teams. Help direct tours.,"['help coordinate promotional activities', 'coordinate community arts activities', 'participate in artistic mediation activities']"
http://data.europa.eu/esco/skill/0898017f-4f6f-4654-807d-1bbe11df100c,teach principles of literature,"Instruct students in the theory and practice of literature, more specifically in reading and writing techniques, etymology and literary analysis.","['literature', 'history of literature', 'types of literature genres']"
http://data.europa.eu/esco/skill/089af6fe-a65e-4271-a232-b2d97ba6f43a,help clients make decisions during counselling sessions,"Encourage clients to make their own decisions related to their problems or inner conflicts by reducing confusion and allowing clients to reach their own conclusions, with no bias whatsoever.",['client-centred counselling']
http://data.europa.eu/esco/skill/089ee650-297e-4716-87d1-440743b70a0d,ensure compliance with environmental legislation,"Monitor activities and perform tasks ensuring compliance with standards involving environmental protection and sustainability, and amend activities in the case of changes in environmental legislation. Ensure that the processes are compliant with environment regulations and best practices.","['environmental policy', 'environmental legislation in agriculture and forestry', 'environmental legislation']"
http://data.europa.eu/esco/skill/08a5f6dd-d3dd-4371-9919-6d730f34499c,mount photovoltaic panels,Securely install photovoltaic panels using a specified mounting system and on the defined position and inclination.,['types of photovoltaic panels']
http://data.europa.eu/esco/skill/08be1642-5cbe-485e-a1e5-3921ecaea755,advise customers on preparation of meat products,Give advice to customers concerning the preparation of meat and meat products.,['meat and meat products']
